Manufacturer Part Number,Digikey,Description,Price,Quantity,Total Price
PJ-102A,CP-102A-ND,Power Jack,$1.00,1,$1.00
AYZ0202,401-2013-1-ND,Switch,$1.33,2,$2.66
TB6612FNG,TB6612FNG(OC8EL)CT-ND,Motor Driver,$3.15,1,$3.15
MIC5219-5.0YM5 TR,576-2770-1-ND,LDO,$2.01,1,$2.01
IRF7509TRPBF,IRF7509TRPBFCT-ND,FET Array,$0.84,1,$0.84
LTST-C150GKT,160-1169-1-ND,Green Power LED,$0.34,1,$0.34
RC1206JR-0710KL,311-10KERCT-ND,10k resistors,$0.10,3,$0.30
RC1206FR-071KL,311-1.00KFRCT-ND,1k resistors,$0.10,1,$0.10
C1206C104K5RACTU,399-1249-1-ND,0.1uF Caps,$0.07,2,$0.15
T491A106K010AT,399-3684-1-ND,10uF Caps,$0.34,2,$0.67
MBRA140T3G,MBRA140T3GOSCT-ND,Schottky Diode,$0.33,1,$0.33
SSW-103-22-G-P-RA-LL,,Right angle headers for motors,,2,
Total,,,,,$11.55
